handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,Column2,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_5,Variant,,,,,,,,-100000.0,true,,,InStock,,,,,FullHD,,,Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_6,Product,The Nun – Ác quỷ ma sơ,"The Nun (Ác Quỷ Ma Sơ) Lấy bối cảnh một tu viện thuộc Romania năm 1952, trước những sự kiện diễn ra trong ""The Conjuring"" và ""Annabelle"". Sau cái chết kỳ dị và bí ẩn của một nữ tu trẻ ở tu viện, một linh mục với quá khứ ám ảnh và một mục sư chưa thực hiện lời tuyên thệ cuối cùng được Vatican cử đến để điều tra sự việc.

Họ đã cùng nhau khám phá ra một sự thật khủng khiếp. Không chỉ gặp nguy hiểm đe dọa mạng sống, cả hai còn phải đối mặt với sự đe dọa về đức tin lẫn linh hồn trước một thế lực tàn độc đội lốt một nữ tu ma quỷ.",https://image.tmdb.org/t/p/w342/sFC1ElvoKGdHJIWRpNB3xWJ9lJA.jpg;https://image.tmdb.org/t/p/original/fgsHxz21B27hOOqQBiw9L6yWcM7.jpg,,,,500000,,TRUE,PERCENT,0,InStock,,,Chất lượng,DROP_DOWN,720p;FullHD;FullHD HDR;4K HDR;Gốc,Định dạng,DROP_DOWN,Digital;Digital + Disc,,,,,,,,,,,,,Đạo diễn,Corin Hardy,Diễn viên chính,"Taissa Farmiga, Demián Bichir, Jonas Bloquet",Sound Track,God Ends Here,Thể loại,Kinh dị,IMDb Rating,5.3,Quốc gia,Mỹ,Đánh giá của bạn,499,FALSE,,,,
product_6,Variant,,,,,,,,600000.0,true,,,InStock,,,,,Gốc,,,Digital + Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_6,Variant,,,,,,,,150000.0,true,,,InStock,,,,,4K HDR,,,Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_6,Variant,,,,,,,,50000.0,true,,,InStock,,,,,FullHD HDR,,,Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_6,Variant,,,,,,,,-50000.0,true,,,InStock,,,,,FullHD,,,Digital + Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_6,Variant,,,,,,,,-200000.0,true,,,InStock,,,,,720p,,,Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_6,Variant,,,,,,,,-150000.0,true,,,InStock,,,,,720p,,,Digital + Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_6,Variant,,,,,,,,500000.0,true,,,InStock,,,,,Gốc,,,Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_6,Variant,,,,,,,,50000.0,true,,,InStock,,,,,FullHD HDR,,,Digital + Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_6,Variant,,,,,,,,200000.0,true,,,InStock,,,,,4K HDR,,,Digital + Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_6,Variant,,,,,,,,-100000.0,true,,,InStock,,,,,FullHD,,,Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7,Product,Mama – Mẹ ma,"Mama là câu chuyện rùng rợn về hai chị em gái bị mất tích Victoria và Lilly. Trong 5 năm, người chú Lucas và bạn gái Annabel không ngừng nỗ lực tìm kiếm hai cháu gái. Một ngày, hai đứa trẻ được tìm thấy và vẫn sống sót một cách kỳ lạ trong căn nhà gỗ đổ nát.

Khi đưa Victoria và Lilly trở về nhà để giúp chúng hòa nhập lại với cuộc sống bình thường, Annabel nhận ra sự tồn tại của ma quỷ trong căn nhà. Hàng đêm, hai đứa trẻ đều vui đùa cùng một nhân vật bí ẩn có tên Mama...

Mama là một phim kinh dị tâm linh điển hình với câu chuyện liên quan tới ma quỷ, có nhiều yếu tố siêu nhiên và đặc biệt là những màn hù dọa bất ngờ - không dành cho khán giả yếu tim.",https://image.tmdb.org/t/p/w342/qqW0qz7LYRLOSwfCaQ8NbUhGEhO.jpg;https://image.tmdb.org/t/p/original/cu3uaBqPORcfpKQWaIjA1GJbvEg.jpg,,,,500000,,TRUE,PERCENT,0,InStock,,,Chất lượng,DROP_DOWN,720p;FullHD;FullHD HDR;4K HDR;Gốc,Định dạng,DROP_DOWN,Digital;Digital + Disc,,,,,,,,,,,,,Đạo diễn,Andrés Muschietti,Diễn viên chính,"Megan Charpentier, Jessica Chastain, Nikolaj Coster - Waldau",Sound Track,Goodnight,Thể loại,Kinh dị,IMDb Rating,6.2,Quốc gia,Canada,Đánh giá của bạn,499,FALSE,,,,
product_7,Variant,,,,,,,,600000.0,true,,,InStock,,,,,Gốc,,,Digital + Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7,Variant,,,,,,,,150000.0,true,,,InStock,,,,,4K HDR,,,Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7,Variant,,,,,,,,50000.0,true,,,InStock,,,,,FullHD HDR,,,Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7,Variant,,,,,,,,-50000.0,true,,,InStock,,,,,FullHD,,,Digital + Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7,Variant,,,,,,,,-200000.0,true,,,InStock,,,,,720p,,,Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7,Variant,,,,,,,,-150000.0,true,,,InStock,,,,,720p,,,Digital + Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7,Variant,,,,,,,,500000.0,true,,,InStock,,,,,Gốc,,,Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7,Variant,,,,,,,,50000.0,true,,,InStock,,,,,FullHD HDR,,,Digital + Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7,Variant,,,,,,,,200000.0,true,,,InStock,,,,,4K HDR,,,Digital + Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7,Variant,,,,,,,,-100000.0,true,,,InStock,,,,,FullHD,,,Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
